wallet,source_url,title,is_security_fix,silent_fix_prob,vuln_class,reason,mechanism
backpack,https://github.com/coral-xyz/backpack/pull/321,wallet adapter integration fixes,1,0.85,transport,"Fixes origin approval bypass where the deny button called onCompletion (approve) and handleConnect always returned success regardless of user choice, allowing a malicious dapp to gain connection autho",authorization-check
safe-react,https://github.com/5afe/safe-react/pull/2308,[Spending Limit] Integration PR,1,0.72,contract,"Removes DELEGATE_CALL operations from spending limit module transactions, preventing the module's code from executing in the Safe's storage context which could corrupt Safe ownership/threshold storage",authorization-check
zerodev-kernel,https://github.com/zerodevapp/kernel/commit/3ec9fcd239454e6f97a8dfd2a6b175d489d50795,fix: audit batch 1 - 3 HIGH / 1 MEDIUM / 3 LOW (kernel side) (#54),1,0.85,contract,"Fixes validation bypasses in a smart account kernel — nonce default-deny, returndata/code checks, module-type permission filtering, and root validation installation — all directly preventing unauthori",authorization-check
bitgo,https://github.com/BitGo/BitGoJS/pull/7122,"fix: mitigate CVE-2024-48930 by validating secp256k1 curve points, enforce secp256k1 v5.0.1",1,0.9,key_material,Adds secp256k1 curve point validation to ECDH shared secret computation to mitigate an invalid-curve attack (CVE-2024-48930) that could leak private key material.,curve-point-validation
bitgo,https://github.com/BitGo/BitGoJS/pull/7066,DX-1549-Resolved-BigInt-Buffer-Vulnerability,1,0.65,supply_chain,Replaces a vulnerable bigint-buffer dependency (high-severity buffer overflow GHSA-3gc7-fjrx-p6mg) in the Solana SDK custody path and adds a runtime bounds/type guard in the wallet's own code to preve,dependency-supply-chain
zcash,https://github.com/zcash/zcash/pull/888,"Implementation and integration of ECIES replacement ""NoteEncryption""",1,0.8,supply_chain,"Removes the crypto++ dependency whose build script explicitly noted a supply chain security bug by failing to verify the archive hash, and replaces the ECIES encryption scheme with a new IND-CCA2-secu",dependency-supply-chain
safe-wallet,https://github.com/safe-global/safe-wallet-monorepo/pull/7838,chore: pin GitHub Actions to commit SHAs,1,0.65,supply_chain,"Pinning mutable GitHub Actions tags to immutable commit SHAs hardens the CI build channel against supply-chain compromise (e.g., CVE-2025-30066), preventing a compromised maintainer from injecting mal",dependency-supply-chain
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/d7c2e4d5a5e75029fc9ff22dc2cb50e08508a3b4,Uses low 's' values for signatures,1,0.85,signing,"Adds low-s normalization to ECDSA signatures to prevent signature malleability per BIP-62, a custody-relevant signing-path fix.",encoding-canonicalization
electrum,https://github.com/spesmilo/electrum/commit/07c80d2ca14b54f2c41c81fbcbaa8b7e4b3e42ef,ecc: ecdsa_verify to enforce low-S rule,1,0.72,signing,"Enforces the low-S rule on ECDSA verification to reject malleable signatures from untrusted sources (e.g., LN peers), preventing signature malleability issues that can break transaction confirmation t",encoding-canonicalization
electrum,https://github.com/spesmilo/electrum/commit/d68042e76e3f194c9ec43524a7f79844a4703ce7,enforece low S value in signatures (per BIP62),1,0.85,signing,"Enforces low-S signature values per BIP62 to prevent signature malleability, a custody-relevant signing-path fix.",encoding-canonicalization
electrum,https://github.com/spesmilo/electrum/commit/5b88b8667ee794d58fb8c78feef57be783ecf062,"also grind ecdsa low R when using libsecp256k1, and fix tests",1,0.6,signing,"Adds low-R grinding to the libsecp256k1 fast signing path that was missing it (while the slow path already had it), fixing a signature malleability inconsistency where signatures produced via the fast",encoding-canonicalization
bitbox02,https://github.com/BitBoxSwiss/bitbox02-firmware/commit/01c017d6f78c132a1e0d740133ea067f977ea344,Validate mounted FAT geometry,1,0.85,platform,"Adds validation of mounted FAT filesystem geometry to reject crafted BPB values that exploit an integer-wrap in FatFs (CVE-2026-6682), preventing an attacker-supplied SD card from corrupting or misdir",input-bounds-parsing
imtoken-tokencore2,https://github.com/consenlabs/token-core-monorepo/pull/183,fix: fix BTC message signing compatibility in imkey-core,1,0.6,signing,Fixes a lexicographical version comparison bug that could cause the wrong BTC message signing path to be selected for certain applet versions.,input-bounds-parsing
keystone3,https://github.com/KeystoneHQ/keystone3-firmware/pull/2209,Sync Zcash integration branch with master,1,0.85,firmware,"The diff adds bounds validation on bootLen in the bootloader flash-update path and adds buffer-overflow guards in the fingerprint ISR receive handler, both preventing out-of-bounds writes in security-",input-bounds-parsing
keystone3,https://github.com/KeystoneHQ/keystone3-firmware/pull/2024,Fix buffer overflow,1,0.75,firmware,"Adds a bounds check on a USB descriptor field to prevent a buffer overflow reachable by a malicious USB device, which on a hardware wallet MCU could corrupt memory and threaten key material.",input-bounds-parsing
passkey-kit,https://github.com/kalepail/passkey-kit/commit/b5238baa6877477542df20eac586f554da19c546,"fix(sdk): F1b code-review gate — H2 eviction probe, M1/M2, LOW hardening",1,0.72,signing,"The diff fixes the signer-status eviction probe (which queried the wrong ledger key, causing all live temporary signers to be falsely marked evicted) and the SignerVal limits decoder (which mis-iterat",input-bounds-parsing
