wallet,source_url,title,silent_fix_prob,vuln_class,is_backport,n_files,reason,mechanism
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/776656df8be551f8454c64d137d1ca36e287363b,ecdsa: adhere strictly to RFC6979,1.0,signing,False,2,"Fixes biased ECDSA nonce generation by strictly adhering to RFC6979, preventing private key leakage via lattice attacks.",nonce-or-randomness
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/b7861e4336664901519081db221a9edf29990e21,replace jsbn's rng with module secure-random,1.0,key_material,False,8,"Replaces a weak, predictable PRNG (Math.random and time-based seed) with a cryptographically secure RNG for wallet seed generation and ECDSA nonces, preventing private key recovery.",nonce-or-randomness
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/be3ce88a3ae8cff791107a09286a8bf407cfdbbd,ecdsa: enforce positive integers,0.95,signing,False,2,"Fixes signature verification to reject negative r/s values, preventing acceptance of invalid or malleable signatures.",encoding-canonicalization
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/5cd49a1c89a953a15eb976ee9a4516dec725450b,Removed debug statements.,0.95,key_material,False,1,Removes debug logging of ECDSA signing nonces (k) and intermediate values (d*r) that would allow recovery of the private key.,key-lifetime-in-memory
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/85c5c6a3354ac2473f55976a9fb0e581a1bbd907,Fix: Find hashes WITHOUT leafHash instead,0.9,signing,False,3,"Fixes Taproot signature validation in PSBT to correctly trim signatures and return false when no signatures are actually validated, preventing acceptance of invalid signatures.",signature-verification-gap
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/c9f399e509c5375580e9c196e3c2c5eeb59aa053,Add getInputType,0.9,signing,False,5,Fixes a PSBT sighash error by correcting a 'p2shp2wsh' to 'p2sh-p2wsh' typo in getHashForSig and adds validation to reject invalid P2WSH witness scripts.,input-bounds-parsing
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/2f1609b9189d877810a80d40a4c8e6653f440434,Fix: P2WPKH was signing with nonWitnessUtxo,0.9,signing,False,3,"Fixes a sighash error where segwit inputs could be signed using nonWitnessUtxo (legacy sighash), allowing an attacker to obtain signatures over unintended messages.",signed-differs-from-shown
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/ccab2652f92329dd6a01ffed4ccbd96e5152acf1,Add sighash checks for signer,0.9,signing,False,3,"Adds sighash type whitelisting (defaulting to SIGHASH_ALL) to PSBT signing, preventing a malicious PSBT from tricking the wallet into producing signatures over unexpected commitment scopes (e.g., SIGH",replay-scope
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/96c04d0787d65bf846d9a4b70d194386cbb9be11,"ECPair: makeRandom, fix comparison",0.9,key_material,False,1,"Fixes private key generation to reject d == n (point at infinity) by changing the loop condition from > to >=, ensuring the generated key is strictly within the valid range [1, n-1].",curve-point-validation
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/252336ab8c286e962bed8f47862b39cf4f5f9888,ECPair: fix modulo bias in makeRandom,0.9,key_material,False,1,"Fixes modulo bias in private key generation by rejecting values >= n instead of reducing mod n, preventing a weak/predictable key that could lead to fund loss.",nonce-or-randomness
bitcoinjs-lib,https://github.com/bitcoinjs/bitcoinjs-lib/commit/804c542c40ae474297cd0441bc764cb9f5015c6a,ecdsa: add SEC annotations for verify,0.9,signing,False,1,"Adds a missing check for the point at infinity in ECDSA verification, preventing signature validation bypass or crash when processing untrusted signatures.",curve-point-validation
